Client_ID,Monthly_Spend,Support_Tickets,Contract_Length,Service_Usage,Customer_Satisfaction,Renewal_History,Client_Status
2161,3796,7,25,27,99,3,Retained
2162,3099,9,25,68,97,2,Retained
2163,3252,8,18,26,42,1,Churned
2164,798,17,8,23,59,1,Churned
2165,2260,1,14,40,85,4,Retained
2166,4197,4,32,33,54,0,Churned
2167,4837,4,33,69,64,2,At_Risk
2168,954,5,23,54,69,4,At_Risk
2169,3574,18,15,12,53,2,Churned
2170,1807,7,33,46,46,0,Churned
2171,2877,15,25,52,56,0,Churned
2172,1833,12,17,49,83,4,Retained
2173,3610,0,33,99,59,0,Churned
2174,302,19,2,64,75,3,At_Risk
2175,3355,16,14,96,48,1,Churned
2176,4318,6,6,48,77,4,At_Risk
2177,4596,12,6,24,87,2,Retained
2178,866,3,3,13,96,3,Retained
2179,4489,3,7,95,99,4,Retained
2180,2427,5,8,34,61,0,At_Risk
2181,3031,18,15,22,93,0,Retained
2182,297,11,29,91,92,0,Retained
2183,2030,6,33,42,92,0,Retained
2184,3682,9,30,25,41,2,Churned
2185,708,18,27,51,63,3,At_Risk
2186,3372,6,29,75,47,1,Churned
2187,1247,2,33,64,50,2,Churned
2188,4382,12,27,51,52,2,Churned
2189,3497,12,33,43,56,1,Churned
2190,2611,17,4,39,47,1,Churned
2191,1894,19,22,22,60,0,At_Risk
2192,759,7,2,22,57,2,Churned
2193,2911,8,10,27,69,4,At_Risk
2194,1469,6,5,41,57,1,Churned
2195,2086,0,10,48,85,1,Retained
2196,246,2,33,55,86,3,Retained
2197,3319,12,13,38,70,4,At_Risk
2198,3011,16,31,71,77,4,At_Risk
2199,1834,0,24,71,71,1,At_Risk
2200,1943,5,15,66,50,0,Churned
2201,588,5,29,25,84,3,Retained
2202,3076,11,8,65,64,4,At_Risk
2203,2059,12,5,19,72,1,At_Risk
2204,2485,12,29,39,99,4,Retained
2205,3019,14,4,34,77,3,At_Risk
2206,4836,15,12,93,80,3,Retained
2207,1902,10,2,14,47,2,Churned
2208,4161,4,27,74,50,1,Churned
2209,3469,3,31,58,61,3,At_Risk
2210,362,2,26,12,90,2,Retained
2211,723,18,27,54,63,2,At_Risk
2212,1116,19,5,23,80,4,Retained
2213,3743,17,20,39,56,4,Churned
2214,2149,14,11,77,51,2,Churned
2215,3823,8,10,27,96,4,Retained
2216,4648,16,6,71,85,3,Retained
2217,3208,13,8,46,71,0,At_Risk
2218,4190,14,23,34,54,3,Churned
2219,2156,0,26,57,55,2,Churned
2220,3270,2,12,74,93,2,Retained
2221,1782,15,26,62,61,3,At_Risk
2222,2355,10,13,88,67,4,At_Risk
2223,1254,11,18,82,59,4,Churned
2224,4599,9,25,24,72,2,At_Risk
2225,3291,15,33,58,49,1,Churned
2226,1796,7,12,97,79,4,At_Risk
2227,4091,5,4,77,71,3,At_Risk
2228,4823,11,5,21,89,4,Retained
2229,4782,7,8,68,99,3,Retained
2230,1748,3,28,46,72,2,At_Risk
2231,1545,7,31,70,41,4,Churned
2232,4299,17,9,52,72,3,At_Risk
2233,4023,4,29,79,72,2,At_Risk
2234,353,8,14,48,80,1,Retained
2235,3283,3,22,65,52,3,Churned
2236,2657,16,11,72,69,1,At_Risk
2237,198,8,23,55,72,1,At_Risk
2238,2300,0,1,97,52,0,Churned
2239,3061,19,21,20,91,4,Retained
2240,4533,12,26,71,65,3,At_Risk
2241,3877,15,23,86,61,1,At_Risk
2242,2969,12,1,34,78,0,At_Risk
2243,3334,13,15,80,41,2,Churned
2244,3891,2,21,61,77,3,At_Risk
2245,1056,5,9,13,78,1,At_Risk
2246,4167,17,9,68,65,4,At_Risk
2247,260,18,10,81,85,0,Retained
2248,4593,4,26,29,97,1,Retained
2249,1400,14,35,72,89,4,Retained
2250,4087,1,25,63,54,1,Churned
2251,1627,9,26,83,73,3,At_Risk
2252,1318,17,11,66,81,3,Retained
2253,4596,12,2,99,94,3,Retained
2254,4835,4,7,50,83,0,Retained
2255,3204,0,18,12,88,3,Retained
2256,2835,0,27,15,79,4,At_Risk
2257,4655,17,34,14,50,1,Churned
2258,1054,14,27,14,42,2,Churned
2259,4665,16,17,63,98,4,Retained
2260,3546,10,24,56,45,4,Churned
2261,1145,16,25,96,48,3,Churned
2262,1793,12,7,58,45,0,Churned
2263,3536,0,6,18,48,1,Churned
2264,662,1,24,29,78,0,At_Risk
2265,2585,8,33,70,70,1,At_Risk
2266,3454,2,29,44,71,1,At_Risk
2267,325,0,22,59,80,0,Retained
2268,4993,15,26,91,89,4,Retained
2269,1059,5,28,71,51,1,Churned
2270,4648,16,21,26,47,0,Churned
2271,3167,4,7,97,47,1,Churned
2272,915,4,17,12,89,2,Retained
2273,4854,5,20,41,67,4,At_Risk
2274,4742,2,20,22,59,3,Churned
2275,3220,4,22,98,86,1,Retained
2276,116,4,28,82,98,2,Retained
2277,1343,9,7,77,46,3,Churned
2278,2305,9,1,23,50,3,Churned
2279,2624,18,32,20,59,1,Churned
2280,1169,16,13,65,55,0,Churned
2281,3544,13,30,76,43,1,Churned
2282,2665,8,23,38,45,2,Churned
2283,1160,13,19,18,97,3,Retained
2284,2427,0,32,76,61,1,At_Risk
2285,3520,18,30,34,65,0,At_Risk
2286,401,12,29,85,42,1,Churned
2287,4376,12,29,51,80,4,Retained
2288,706,3,30,18,99,0,Retained
2289,3270,0,16,88,81,2,Retained
2290,799,16,19,49,53,3,Churned
2291,1239,7,18,34,50,1,Churned
2292,290,1,1,14,57,0,Churned
2293,2400,7,14,20,93,4,Retained
2294,1080,6,2,68,51,0,Churned
2295,3075,1,28,97,62,4,At_Risk
2296,1284,2,30,88,51,2,Churned
2297,3427,17,4,47,52,3,Churned
2298,3494,11,1,81,64,2,At_Risk
2299,227,0,8,14,84,1,Retained
2300,2165,11,29,57,90,0,Retained
2301,1916,4,3,99,97,4,Retained
2302,669,16,32,27,58,4,Churned
2303,1995,15,10,79,94,0,Retained
2304,2833,14,10,46,85,0,Retained
2305,3963,14,19,69,75,1,At_Risk
2306,4821,4,34,57,84,2,Retained
2307,4114,13,33,86,47,4,Churned
2308,3001,1,23,37,68,1,At_Risk
2309,1786,10,28,78,94,2,Retained
2310,3109,18,32,86,92,1,Retained
2311,254,6,7,90,94,4,Retained
2312,2637,5,29,49,71,0,At_Risk
2313,1509,1,8,54,90,0,Retained
2314,4157,5,1,71,83,2,Retained
2315,884,17,3,67,57,3,Churned
2316,3275,1,24,76,45,2,Churned
2317,4441,17,23,65,57,3,Churned
2318,2906,14,8,49,58,1,Churned
2319,637,18,3,49,61,1,At_Risk
2320,1941,1,33,86,76,4,At_Risk
2321,2555,19,28,42,71,3,At_Risk
2322,624,5,8,15,95,4,Retained
2323,3050,0,34,97,80,0,Retained
2324,4231,14,35,28,98,3,Retained
2325,4880,9,32,89,42,2,Churned
2326,4215,18,24,49,67,0,At_Risk
2327,2468,16,14,68,49,0,Churned
2328,3947,4,32,68,90,2,Retained
2329,4595,3,16,57,74,0,At_Risk
2330,2801,9,4,50,68,3,At_Risk
2331,1071,16,21,22,93,4,Retained
2332,1266,9,14,54,54,0,Churned
2333,2874,16,31,98,72,3,At_Risk
2334,2082,19,18,62,46,1,Churned
2335,953,4,7,51,51,3,Churned
2336,4246,1,10,72,88,4,Retained
2337,3836,5,7,36,69,3,At_Risk
2338,3869,1,33,47,60,2,At_Risk
2339,674,12,23,69,70,4,At_Risk
2340,3361,10,21,16,97,1,Retained
2341,1248,10,19,14,63,2,At_Risk
2342,1815,15,19,54,59,3,Churned
2343,4877,10,29,67,76,4,At_Risk
2344,3954,18,18,40,43,1,Churned
2345,2591,14,2,32,67,2,At_Risk
2346,2760,15,1,51,83,1,Retained
2347,3224,10,5,19,59,3,Churned
2348,3151,15,20,41,99,1,Retained
2349,104,7,11,62,63,0,At_Risk
2350,4969,3,2,39,89,2,Retained
